id, title, longitude, latitude
21661442605,,121.447041,31.229349
21633169026,,121.483466,31.241561
21468240308,,121.500000,31.2
21644290652,,121.502777,31.236666
21664806441,,121.448055,31.226666
21663708641,,121.500000,31.2
21465879590,,121.493915,31.202896
21465926228,,121.493915,31.202896
21653717045,,121.493915,31.202896
21031045254,,121.493915,31.202896
21464226870,,121.475724,31.237575
21650644955,,121.485961,31.240602
21027848974,,121.528333,31.224444
21461412718,,121.491747,31.243947
21028049803,,121.467294,31.231095
21648997005,,121.465000,31.232
21462194509,,121.471710,31.256248
21622852886,,121.479703,31.239044
21461303309,,121.500000,31.2
21008327133,,121.500000,31.2
21440926948,,121.502777,31.236666
21007266573,,121.486546,31.238417
21004569663,,121.464076,31.209964
21634618411,,121.464076,31.209964
21434757649,,121.441481,31.207145
21431236500,,121.464158,31.210813
20997903713,,121.527359,31.222074
21627403271,,121.528333,31.224444
21606405002,,121.484998,31.243454
21590881176,,121.428565,31.221875
21428825008,,121.490638,31.233963
21589359816,,121.461613,31.220629
21424122369,,121.434502,31.233077
21619388331,,121.451827,31.2055
20987153714,,121.470833,31.217
20988821883,,121.470666,31.216666
20987149734,,121.429666,31.204333
21614616561,,121.443138,31.225361
21417880868,,121.443161,31.225547
20982921624,,121.443152,31.225552
21418787219,,121.440413,31.224525
20982902744,,121.440811,31.2244
21594347922,,121.440666,31.224411
21418774739,,121.441008,31.224586
21614568521,,121.441016,31.224713
21605709565,,121.442055,31.22527
20982838414,,121.442055,31.22527
20982836184,,121.442055,31.22527
21417789908,,121.446593,31.225646
20982830284,,121.446593,31.225646
20984500903,,121.442055,31.22527
20978612814,,121.500000,31.2
20977873554,,121.458333,31.236944
21413629499,,121.458333,31.236944
21574284466,,121.484886,31.241211
21574283856,,121.484611,31.241163
21609334121,,121.484641,31.241177
21412629628,,121.486411,31.246372
21609332421,,121.484650,31.241238
21600529895,,121.484572,31.241233
21412626718,,121.484519,31.241208
21600527995,,121.486288,31.24618
21609329141,,121.486450,31.246411
21412349530,,121.484663,31.243075
21412348930,,121.484825,31.242602
20977603864,,121.485397,31.241197
21574204626,,121.485480,31.241072
21412347070,,121.484100,31.241341
21412346160,,121.484238,31.241311
21412345370,,121.484238,31.241311
20979262833,,121.484825,31.242602
21413452899,,121.484597,31.241202
21574199696,,121.484536,31.241258
21574199006,,121.484711,31.24118
21574198446,,121.484633,31.241238
20979258773,,121.484511,31.241244
21589041402,,121.484611,31.241163
20974203704,,121.458333,31.236944
20974152954,,121.486138,31.238027
21585553942,,121.483653,31.243668
20971484024,,121.460414,31.221175
21405897440,,121.483653,31.243668
20971139564,,121.398925,31.44741
21406863209,,121.483653,31.243668
21602521351,,121.483653,31.243668
21404620560,,121.434141,31.206084
21576703692,,121.391995,31.208127
21575730962,,121.486546,31.238417
20963771474,,121.425279,31.212131
21397668658,,121.432244,31.238005
21571791182,,121.515816,31.210669
20960320844,,121.513733,31.211538
20960320524,,121.515800,31.210683
20960319304,,121.515133,31.209308
21591917681,,121.515822,31.210697
21395047760,,121.503563,31.411608
21396174829,,121.503563,31.411608
21583121385,,121.504013,31.411055
21591915561,,121.504205,31.412755
21396173599,,121.504247,31.410883
